Curno comune,Curno comune.1
,
Curno – VedutaPanorama,Curno – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Andrea Saccogna (lista civica) dal 13-6-2022
Territorio,Territorio
Coordinate,45°41′28″N 9°36′45″E
Altitudine,244 m s.l.m.
Superficie,"4,7[1] km²"
Abitanti,7 570[2] (30-11-2025)
Densità,"1 610,64 ab./km²"
Frazioni,nessuna[3]
Comuni confinanti,"Bergamo, Bonate Sopra, Mozzo, Ponte San Pietro, Treviolo"
Altre informazioni,Altre informazioni
Cod. postale,24035
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016089
Cod. catastale,D221
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[4]
Cl. climatica,"zona E, 2 526 GG[5]"
Nome abitanti,curnesi
Patrono,Santissimo Redentore
Giorno festivo,lunedì dopo la terza domenica di luglio
Cartografia,Cartografia
Curno,Curno
Curno – MappaPosizione del comune di Curno nella provincia di Bergamo,Curno – MappaPosizione del comune di Curno nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
