Pontirolo Nuovo comune,Pontirolo Nuovo comune.1
,
Pontirolo Nuovo – VedutaVeduta invernale,Pontirolo Nuovo – VedutaVeduta invernale
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Erika Bertocchi (lista civica Uniti per Pontirolo) dal 9-6-2024
Territorio,Territorio
Coordinate,45°34′09″N 9°34′02″E
Altitudine,155 m s.l.m.
Superficie,"11,1 km²"
Abitanti,5 041[1] (30-11-2025)
Densità,"454,14 ab./km²"
Comuni confinanti,"Arcene, Boltiere, Brembate, Canonica d'Adda, Ciserano, Fara Gera d'Adda, Treviglio"
Altre informazioni,Altre informazioni
Cod. postale,24040
Prefisso,0363
Fuso orario,UTC+1
Codice ISTAT,016172
Cod. catastale,G867
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 360 GG[3]"
Nome abitanti,pontirolesi
Patrono,san Michele
Giorno festivo,29 settembre
Cartografia,Cartografia
Pontirolo Nuovo,Pontirolo Nuovo
Pontirolo Nuovo – MappaPosizione del comune di Pontirolo Nuovo nella provincia di Bergamo,Pontirolo Nuovo – MappaPosizione del comune di Pontirolo Nuovo nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
