Calusco d'Adda comune,Calusco d'Adda comune.1
,
Calusco d'Adda – VedutaLa parrocchiale dell’Immacolata e San Fedele,Calusco d'Adda – VedutaLa parrocchiale dell’Immacolata e San Fedele
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Michele Pellegrini (lista civica) dal 12-6-2017
Territorio,Territorio
Coordinate,45°41′N 9°29′E
Altitudine,273 m s.l.m.
Superficie,"8,33 km²"
Abitanti,8 439[1] (30-11-2025)
Densità,"1 013,09 ab./km²"
Frazioni,nessuna[2]; vedi elenco contrade
Comuni confinanti,"Carvico, Medolago, Paderno d'Adda (LC), Robbiate (LC), Solza, Terno d'Isola, Villa d'Adda"
Altre informazioni,Altre informazioni
Cod. postale,24033
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016046
Cod. catastale,B434
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 457 GG[4]"
Nome abitanti,caluschesi
Patrono,san Fedele
Giorno festivo,29 ottobre
Cartografia,Cartografia
Calusco d'Adda,Calusco d'Adda
Calusco d'Adda – MappaPosizione del comune di Calusco d'Adda nella provincia di Bergamo,Calusco d'Adda – MappaPosizione del comune di Calusco d'Adda nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
