Leffe comune,Leffe comune.1
,
Leffe – VedutaPanorama con i monti Croce sulla sinistra e Beio sulla destra,Leffe – VedutaPanorama con i monti Croce sulla sinistra e Beio sulla destra
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Marco Gallizioli (lista civica) dal 12-6-2017
Territorio,Territorio
Coordinate,45°47′24.3″N 9°52′55.65″E
Altitudine,453 m s.l.m.
Superficie,"6,69 km²"
Abitanti,4 303[1] (30-11-2025)
Densità,"643,2 ab./km²"
Frazioni,San Rocco
Comuni confinanti,"Bianzano, Cazzano Sant'Andrea, Cene, Gandino, Peia"
Altre informazioni,Altre informazioni
Cod. postale,24026
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016124
Cod. catastale,E509
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 713 GG[3]"
Nome abitanti,leffesi
Patrono,san Michele Arcangelo e san Martino
Giorno festivo,11 novembre
Cartografia,Cartografia
Leffe,Leffe
Leffe – MappaPosizione del comune di Leffe nella provincia di Bergamo,Leffe – MappaPosizione del comune di Leffe nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
