Fino del Monte comune,Fino del Monte comune.1
,
Fino del Monte – VedutaPanorama,Fino del Monte – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Giulio Scandella (lista civica Progetto per Fino) dal 27-5-2019
Territorio,Territorio
Coordinate,45°53′25.32″N 9°59′33.43″E
Altitudine,662 m s.l.m.
Superficie,"4,29 km²"
Abitanti,1 136[1] (30-11-2025)
Densità,"264,8 ab./km²"
Frazioni,nessuna[2]
Comuni confinanti,"Castione della Presolana, Onore, Rovetta, Songavazzo"
Altre informazioni,Altre informazioni
Cod. postale,24020
Prefisso,0346
Fuso orario,UTC+1
Codice ISTAT,016099
Cod. catastale,D604
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona F, 3 074 GG[4]"
Nome abitanti,finesi
Patrono,sant'Andrea Apostolo
Giorno festivo,30 novembre
PIL procapite,(nominale) 18389 €
Cartografia,Cartografia
Fino del Monte,Fino del Monte
Fino del Monte – MappaPosizione del comune di Fino del Monte nella provincia di Bergamo,Fino del Monte – MappaPosizione del comune di Fino del Monte nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
