V · D · MOpere di Caravaggio,V · D · MOpere di Caravaggio.1
1592–1594,Ragazzo che monda un frutto (1592-1593) · Fanciullo con canestro di frutta (1593-1954) · Bacchino malato (1593-1954) · La negromante (Buona ventura) (1953-1594) · I bari (1594)
1595–1599 I dipinti di Del Monte,"San Francesco d'Assisi in estasi (1594-1595) · Maddalena penitente (1594-1595) · I bari (1595) · Concerto di giovani (c. 1595) · Suonatore di liuto (1595-1956) · Ragazzo morso da un ramarro (1595-1596) · Riposo durante la fuga in Egitto (1595-1596) · Bacco (1596-1597) · Buona ventura (1596-1597) · Santa Caterina d'Alessandria (c. 1597) · Canestra di frutta (1597-1598) · Ritratto di Fillide Melandroni (1597-1598) · Davide e Golia (1597-1598) · Giove, Nettuno e Plutone (1597-1600) · Medusa (1598) · San Giovanni Battista (c. 1598) · Sacrificio di Isacco (1598) · Marta e Maria Maddalena (c. 1598) · Ritratto di Maffeo Barberini (c. 1598) · Cristo alla colonna (1598-1599) · Giuditta e Oloferne (1599) · Narciso (1599) ·"
1600–1606 Pittore più famoso di Roma,Martirio di san Matteo (1599–1600) · Vocazione di san Matteo (1599-1600) · Natività con i santi Lorenzo e Francesco d'Assisi (1600?) · Conversione di san Paolo (1601) · Crocifissione di san Pietro (1601) · Conversione di san Paolo (1601) · Incredulità di san Tommaso (1600-1601) · Cena in Emmaus (Londra) (1601) · San Matteo e l'angelo (1602) · San Matteo e l'angelo (1602) · San Giovanni Battista (Caravaggio Capitolino-Pamphilj) (1602) · Cattura di Cristo (1602) · Amore Vittorioso (1602-1603) · Incoronazione di spine (Prato) (1602-1603) · Deposizione di Cristo (1602-1604) · Incoronazione di spine (Vienna) (1603) · Sacrificio di Isacco (1603-1604) · Giovanni Battista (Kansas City) (1604) · Morte della Vergine (1604-1606) · Giovanni Battista (Palazzo Corsini) (1604) · Cristo sul Monte degli Ulivi (1604-1606) · Madonna dei Pellegrini (1604-1606) · San Francesco in meditazione (1605) · Ecce Homo (c. 1605) · San Girolamo in meditazione (c. 1605) · Natura morta con frutta (1605) · Madonna dei Palafrenieri (1605-1606) · San Girolamo scrivente (Roma) (1605-1606) · Ritratto di papa Paolo V (1605-1606)
1606–1608 Il primo periodo di Napoli,Sacra Famiglia con san Giovannino (Caravaggio New York) (1605-1606) · San Francesco in preghiera (Cremona) (1605-1606) · Maria Maddalena in estasi (1606) · Cena in Emmaus (Milano) (1606) · Madonna del Rosario (1607) · Sette opere di Misericordia (1606) · Flagellazione di Cristo (1607) · Crocefissione di sant'Andrea (1607) · Davide con la testa di Golia (Vienna) (1607) · Flagellazione di Cristo (1607-1608) · Il cavadenti (1607–1609) · Salomè con la testa di Giovanni Battista (Londra) (1607-1610)
1607-1609 A Malta e in Sicilia,Ritratto di Alof de Wignacourt e del suo paggio (1608) · San Girolamo scrivente (Malta) (1608) · Decollazione di san Giovanni Battista (1608) · Giovanni Battista alla sorgente (1608) · Amorino dormiente (1608) · Ritratto di Fra Antonio Martelli (1608-1609) · Seppellimento di santa Lucia (1608-1609) · Annunciazione (c. 1609) · Resurrezione di Lazzaro (1609) · Adorazione dei pastori (1609)
1609–1610 Il secondo periodo napoletano,Salomè con la testa di Giovanni Battista (Madrid) (1609) · Negazione di san Pietro (1609-1610) · Davide con la testa di Golia (1609-1610) · San Giovanni Battista disteso (1610) · San Giovanni Battista (Caravaggio Borghese) (1610) · Martirio di sant'Orsola (1610)
