Ciserano comune,Ciserano comune.1
,
Ciserano – VedutaLa parrocchiale dei Santi Marco e Martino,Ciserano – VedutaLa parrocchiale dei Santi Marco e Martino
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Caterina Vitali (lista civica di centro-sinistra) dal 10-6-2024
Territorio,Territorio
Coordinate,45°35′N 9°36′E
Altitudine,159 m s.l.m.
Superficie,"5,31 km²"
Abitanti,5 851[1] (30-11-2025)
Densità,"1 101,88 ab./km²"
Frazioni,nessuna[2]; vedi elenco borgate
Comuni confinanti,"Arcene, Boltiere, Pontirolo Nuovo, Verdellino, Verdello"
Altre informazioni,Altre informazioni
Cod. postale,24040
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016075
Cod. catastale,C730
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 340 GG[4]"
Nome abitanti,ciseranesi
Patrono,san Giuliano
Giorno festivo,Terza settimana di Settembre
Cartografia,Cartografia
Ciserano,Ciserano
Ciserano – MappaPosizione del comune di Ciserano nella provincia di Bergamo,Ciserano – MappaPosizione del comune di Ciserano nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
