Comun Nuovo comune,Comun Nuovo comune.1
,
Comun Nuovo – VedutaLa parrocchiale del Santissimo Salvatore,Comun Nuovo – VedutaLa parrocchiale del Santissimo Salvatore
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Ivan Rossoni (lista civica Progetto Comun Nuovo) dal 10-6-2024
Territorio,Territorio
Coordinate,45°37′22″N 9°39′49″E
Altitudine,188 m s.l.m.
Superficie,"6,45 km²"
Abitanti,4 473[1] (30-11-2025)
Densità,"693,49 ab./km²"
Frazioni,nessuna[2]
Comuni confinanti,"Levate, Spirano, Stezzano, Urgnano, Verdello, Zanica"
Altre informazioni,Altre informazioni
Cod. postale,24040
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016081
Cod. catastale,C937
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 516 GG[4]"
Nome abitanti,Comunnuovesi
Patrono,santissimo Salvatore
Cartografia,Cartografia
Comun Nuovo,Comun Nuovo
Comun Nuovo – MappaPosizione del comune di Comun Nuovo nella provincia di Bergamo,Comun Nuovo – MappaPosizione del comune di Comun Nuovo nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
