Endine Gaiano comune,Endine Gaiano comune.1
,
Endine Gaiano – VedutaPanorama di Endine con il lago omonimo,Endine Gaiano – VedutaPanorama di Endine con il lago omonimo
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Capoluogo,Endine
Sindaco,Marco Zoppetti (Continuare per migliorare) dal 25-5-2014
Territorio,Territorio
Coordinate del capoluogo,45°47′N 9°58′E
Altitudine,382 m s.l.m.
Superficie,"21,07 km²"
Abitanti,3 473[1] (30-11-2025)
Densità,"164,83 ab./km²"
Frazioni,"Endine (sede comunale), Piangaiano, San Felice al Lago, Valmaggiore[2], Pura, Rova[3]"
Comuni confinanti,"Fonteno, Gandino, Monasterolo del Castello, Ranzanico, Solto Collina, Sovere"
Altre informazioni,Altre informazioni
Cod. postale,24060
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016093
Cod. catastale,D406
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[4]
Cl. climatica,"zona E, 2 612 GG[5]"
Nome abitanti,endinesi
Patrono,san Giorgio
Giorno festivo,23 aprile
Cartografia,Cartografia
Endine,Endine
Endine Gaiano – MappaPosizione del comune di Endine Gaiano nella provincia di Bergamo,Endine Gaiano – MappaPosizione del comune di Endine Gaiano nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
