Madone comune,Madone comune.1
,
Madone – VedutaPanorama,Madone – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Rosaria Albergati (lista civica Vivi Madone) dal 27-5-2019
Territorio,Territorio
Coordinate,45°39′N 9°33′E
Altitudine,202 m s.l.m.
Superficie,"3,07 km²"
Abitanti,4 196[1] (30-11-2025)
Densità,"1 366,78 ab./km²"
Frazioni,nessuna[2]
Comuni confinanti,"Bonate Sotto, Bottanuco, Chignolo d'Isola, Filago"
Altre informazioni,Altre informazioni
Cod. postale,24040
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016131
Cod. catastale,E794
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 356 GG[4]"
Nome abitanti,madonesi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Madone,Madone
Madone – MappaPosizione del comune di Madone nella provincia di Bergamo,Madone – MappaPosizione del comune di Madone nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
