Villa d'Adda comune,Villa d'Adda comune.1
,
Villa d'Adda – VedutaPanorama da via San Zenone,Villa d'Adda – VedutaPanorama da via San Zenone
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Gianfranco Biffi (lista civica El@) dal 12-6-2017
Territorio,Territorio
Coordinate,45°43′N 9°28′E
Altitudine,286 m s.l.m.
Superficie,"5,98[1] km²"
Abitanti,4 579[2] (30-11-2025)
Densità,"765,72 ab./km²"
Frazioni,nessuna[3]
Comuni confinanti,"Brivio (LC), Calco (LC), Calusco d'Adda, Carvico, Imbersago (LC), Pontida, Robbiate (LC)"
Altre informazioni,Altre informazioni
Cod. postale,24030
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016238
Cod. catastale,L929
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[4]
Cl. climatica,"zona E, 2 476 GG[5]"
Nome abitanti,villadaddesi
Patrono,sant'Andrea Apostolo
Giorno festivo,30 novembre
Cartografia,Cartografia
Villa d'Adda,Villa d'Adda
Villa d'Adda – MappaPosizione del comune di Villa d'Adda nella provincia di Bergamo,Villa d'Adda – MappaPosizione del comune di Villa d'Adda nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
