Fara Gera d'Adda comune,Fara Gera d'Adda comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Raffaele Assanelli (lista civica Per Fara e Badalasco) dal 27-5-2019
Territorio,Territorio
Coordinate,45°33′N 9°32′E
Altitudine,131 m s.l.m.
Superficie,"10,79 km²"
Abitanti,8 082[1] (30-11-2025)
Densità,"749,03 ab./km²"
Frazioni,Badalasco[2]
Comuni confinanti,"Canonica d'Adda, Cassano d'Adda (MI), Pontirolo Nuovo, Treviglio, Vaprio d'Adda (MI)"
Altre informazioni,Altre informazioni
Cod. postale,24045
Prefisso,0363
Fuso orario,UTC+1
Codice ISTAT,016096
Cod. catastale,D490
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 441 GG[4]"
Nome abitanti,faresi
Patrono,sant'Alessandro
Giorno festivo,26 agosto
Cartografia,Cartografia
Fara Gera d'Adda,Fara Gera d'Adda
Fara Gera d'Adda – MappaPosizione del comune di Fara Gera d'Adda nella provincia di Bergamo,Fara Gera d'Adda – MappaPosizione del comune di Fara Gera d'Adda nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
