Torre de' Busi comune,Torre de' Busi comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Capoluogo,San Michele
Sindaco,Eleonora Ninkovic (lista civica) dal 7-6-2009
Territorio,Territorio
Coordinate del capoluogo,45°46′42.95″N 9°29′04.24″E
Altitudine,472 m s.l.m.
Superficie,"8,97 km²"
Abitanti,2 313[1] (30-11-2025)
Densità,"257,86 ab./km²"
Frazioni,"Favirano, San Gottardo, San Marco, San Michele (sede comunale), Sogno, Valcava[2]"
Comuni confinanti,"Calolziocorte (LC), Caprino Bergamasco, Carenno (LC), Cisano Bergamasco, Costa Valle Imagna, Monte Marenzo (LC), Roncola"
Altre informazioni,Altre informazioni
Cod. postale,24032
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016215
Cod. catastale,L257
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 698 GG[4]"
Nome abitanti,torrebusini
Cartografia,Cartografia
San Michele,San Michele
Torre de' Busi – Mappa,Torre de' Busi – Mappa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
