Provincia di Bergamo provincia,Provincia di Bergamo provincia.1
,
"Provincia di Bergamo – VedutaPalazzo della Provincia, sede dell'amministrazione provinciale, 2015","Provincia di Bergamo – VedutaPalazzo della Provincia, sede dell'amministrazione provinciale, 2015"
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Amministrazione,Amministrazione
Capoluogo,Bergamo
Presidente,Pasquale Gandolfi (PD) dal 16-10-2021
Data di istituzione,7 aprile 1815 (istituzione nel Regno del Lombardo-Veneto) 23 ottobre 1859 (istituzione nel Regno di Sardegna)
Territorio,Territorio
Coordinate del capoluogo,45°41′42″N 9°40′12″E
Altitudine,249 m s.l.m.
Superficie,"2 722,86[1] km²"
Abitanti,1 119 148[2] (30-11-2025)
Densità,"411,02 ab./km²"
Comuni,243 comuni
Province confinanti,"Brescia, Cremona, Lecco, Milano, Monza e Brianza, Sondrio"
Altre informazioni,Altre informazioni
Cod. postale,24121 - 24129 (Bergamo) 24000 - 24100 (altri comuni)
Prefisso,"02, 035, 0345, 0346, 0363"
Fuso orario,UTC+1
ISO 3166-2,IT-BG
Codice ISTAT,016
Targa,BG
PIL procapite,(nominale) 27 225 €[senza fonte]
Cartografia,Cartografia
Provincia di Bergamo – Localizzazione,Provincia di Bergamo – Localizzazione
Provincia di Bergamo – MappaPosizione della provincia di Bergamo all'interno della Lombardia,Provincia di Bergamo – MappaPosizione della provincia di Bergamo all'interno della Lombardia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
