Roncobello comune,Roncobello comune.1
,
Roncobello – VedutaVeduta,Roncobello – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Ilaria Rovelli (lista civica) dal 26-5-2019
Territorio,Territorio
Coordinate,45°57′N 9°45′E
Altitudine,1 007 m s.l.m.
Superficie,"25,39 km²"
Abitanti,422[1] (30-11-2025)
Densità,"16,62 ab./km²"
Frazioni,"Baresi, Bordogna, Capovalle[2]"
Comuni confinanti,"Ardesio, Branzi, Dossena, Isola di Fondra, Lenna, Moio de' Calvi, Oltre il Colle, Serina"
Altre informazioni,Altre informazioni
Cod. postale,24010
Prefisso,0345
Fuso orario,UTC+1
Codice ISTAT,016184
Cod. catastale,H535
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona F, 3 500 GG[4]"
Nome abitanti,roncobellesi
Patrono,san Pietro e san Paolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Roncobello,Roncobello
Roncobello – MappaPosizione del comune di Roncobello nella provincia di Bergamo,Roncobello – MappaPosizione del comune di Roncobello nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
