Cene comune,Cene comune.1
,
Cene – VedutaPanorama,Cene – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Edilio Moreni (Lega Nord) dal 22-9-2020
Territorio,Territorio
Coordinate,45°46′46″N 9°49′33″E
Altitudine,368 m s.l.m.
Superficie,"8,6 km²"
Abitanti,4 052[1] (30-11-2025)
Densità,"471,16 ab./km²"
Frazioni,nessuna[2]
Comuni confinanti,"Albino, Bianzano, Casnigo, Cazzano Sant'Andrea, Fiorano al Serio, Gaverina Terme, Gazzaniga, Leffe"
Altre informazioni,Altre informazioni
Cod. postale,24020
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016070
Cod. catastale,C459
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 694 GG[4]"
Nome abitanti,cenesi
Patrono,san Zeno
Giorno festivo,12 aprile
Cartografia,Cartografia
Cene,Cene
Cene – MappaPosizione del comune di Cene nella provincia di Bergamo,Cene – MappaPosizione del comune di Cene nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
