Camerata Cornello comune,Camerata Cornello comune.1
,
Camerata Cornello – VedutaPanorama di Camerata,Camerata Cornello – VedutaPanorama di Camerata
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Andrea Locatelli (lista civica Impegnáti per Camerata Cornello) dal 26-5-2019
Territorio,Territorio
Coordinate,45°54′N 9°39′E
Altitudine,570 m s.l.m.
Superficie,"12,94 km²"
Abitanti,546[1] (30-11-2025)
Densità,"42,19 ab./km²"
Frazioni,"Orbrembo, Cornello dei Tasso, Darco, Costa, Bruga, Voltola, Bretto, Tassi, Garzani, Brembella, Era, Cespedosio[2]"
Comuni confinanti,"Cassiglio, Lenna, Piazza Brembana, San Giovanni Bianco, Taleggio"
Altre informazioni,Altre informazioni
Cod. postale,24010
Prefisso,0345
Fuso orario,UTC+1
Codice ISTAT,016048
Cod. catastale,B471
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 879 GG[4]"
Nome abitanti,cameratesi
Patrono,santa Maria Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Camerata Cornello,Camerata Cornello
Camerata Cornello – MappaPosizione del comune di Camerata Cornello nella provincia di Bergamo,Camerata Cornello – MappaPosizione del comune di Camerata Cornello nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
