Cologno al Serio comune,Cologno al Serio comune.1
,
Cologno al Serio – VedutaVeduta del fossato che circonda il centro storico,Cologno al Serio – VedutaVeduta del fossato che circonda il centro storico
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Chiara Drago (lista civica di centro-sinistra ProgettoCologno) dal 5-6-2016 (2° mandato dal 3-10-2021)
Territorio,Territorio
Coordinate,45°35′N 9°42′E
Altitudine,156 m s.l.m.
Superficie,"18,52 km²"
Abitanti,11 276[1] (30-11-2025)
Densità,"608,86 ab./km²"
Frazioni,"Castel Liteggio, Fornasette, Muratella[2]"
Comuni confinanti,"Brignano Gera d'Adda, Ghisalba, Martinengo, Morengo, Spirano, Urgnano"
Altre informazioni,Altre informazioni
Cod. postale,24055
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016079
Cod. catastale,C894
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 369 GG[4]"
Nome abitanti,colognesi
Patrono,Santa Maria Assunta Compatrona Santa Eurosia
Giorno festivo,15 agosto
Cartografia,Cartografia
Cologno al Serio,Cologno al Serio
Cologno al Serio – MappaPosizione del comune di Cologno al Serio nella provincia di Bergamo,Cologno al Serio – MappaPosizione del comune di Cologno al Serio nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
