Carvico comune,Carvico comune.1
,
Carvico – VedutaLa parrocchiale di San Martino,Carvico – VedutaLa parrocchiale di San Martino
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Sergio Locatelli (lista civica) dal 26-5-2019
Territorio,Territorio
Coordinate,45°42′N 9°29′E
Altitudine,287 m s.l.m.
Superficie,"4,59[1] km²"
Abitanti,4 709[2] (30-11-2025)
Densità,"1 025,93 ab./km²"
Frazioni,nessuna[3]
Comuni confinanti,"Calusco d'Adda, Pontida, Sotto il Monte Giovanni XXIII, Terno d'Isola, Villa d'Adda"
Altre informazioni,Altre informazioni
Cod. postale,24030
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016057
Cod. catastale,B854
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[4]
Cl. climatica,"zona E, 2 477 GG[5]"
Nome abitanti,Carvichesi
Patrono,san Martino
Giorno festivo,11 novembre
Cartografia,Cartografia
Carvico,Carvico
Carvico – MappaPosizione del comune di Carvico nella provincia di Bergamo,Carvico – MappaPosizione del comune di Carvico nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
