Valgoglio comune,Valgoglio comune.1
,
Valgoglio – VedutaVeduta con la parrocchiale dell’Assunta,Valgoglio – VedutaVeduta con la parrocchiale dell’Assunta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Angelo Bosatelli (lista civica Uniti per Valgoglio) dall'11-06-2024
Territorio,Territorio
Coordinate,45°58′N 9°55′E
Altitudine,929 m s.l.m.
Superficie,"31,89 km²"
Abitanti,558[1] (30-11-2025)
Densità,"17,5 ab./km²"
Frazioni,"Colarete, Novazza[2]"
Comuni confinanti,"Ardesio, Branzi, Carona, Gandellino, Gromo"
Altre informazioni,Altre informazioni
Cod. postale,24020
Prefisso,0346
Fuso orario,UTC+1
Codice ISTAT,016225
Cod. catastale,L579
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona F, 3 389 GG[4]"
Nome abitanti,valgogliesi
Patrono,santa Maria Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Valgoglio,Valgoglio
Valgoglio – MappaPosizione del comune di Valgoglio nella provincia di Bergamo,Valgoglio – MappaPosizione del comune di Valgoglio nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
