Canonica d'Adda comune,Canonica d'Adda comune.1
,
Canonica d'Adda – VedutaPanorama,Canonica d'Adda – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Paolo Giulio Arcari (lista civica) dal 26-5-2025
Territorio,Territorio
Coordinate,45°34′31″N 9°32′20″E
Altitudine,99 m s.l.m.
Superficie,"3,21[1] km²"
Abitanti,4 289[2] (30-11-2025)
Densità,"1 336,14 ab./km²"
Comuni confinanti,"Brembate, Capriate San Gervasio, Fara Gera d'Adda, Pontirolo Nuovo, Vaprio d'Adda (MI)"
Altre informazioni,Altre informazioni
Cod. postale,24040
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,016049
Cod. catastale,B618
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 416 GG[4]"
Nome abitanti,canonichesi
Patrono,san Giovanni Evangelista
Giorno festivo,27 dicembre
Cartografia,Cartografia
Canonica d'Adda,Canonica d'Adda
Canonica d'Adda – MappaPosizione del comune di Canonica d'Adda nella provincia di Bergamo,Canonica d'Adda – MappaPosizione del comune di Canonica d'Adda nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
