Chignolo d'Isola comune,Chignolo d'Isola comune.1
,
Chignolo d'Isola – VedutaVeduta,Chignolo d'Isola – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Saul Ronzoni (lista civica Futuro e tradizione) dal 9-6-2024
Territorio,Territorio
Coordinate,45°39′59″N 9°31′39″E
Altitudine,229 m s.l.m.
Superficie,"5,55 km²"
Abitanti,3 385[1] (30-11-2025)
Densità,"609,91 ab./km²"
Frazioni,nessuna[2]
Comuni confinanti,"Bonate Sopra, Bonate Sotto, Bottanuco, Madone, Medolago, Suisio, Terno d'Isola"
Altre informazioni,Altre informazioni
Cod. postale,24040
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016072
Cod. catastale,C635
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 395 GG[4]"
Nome abitanti,chignolesi
Patrono,san Pietro
Giorno festivo,29 giugno
Cartografia,Cartografia
Chignolo d'Isola,Chignolo d'Isola
Chignolo d'Isola – MappaPosizione del comune di Chignolo d'Isola nella provincia di Bergamo,Chignolo d'Isola – MappaPosizione del comune di Chignolo d'Isola nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
