Romano di Lombardia comune,Romano di Lombardia comune.1
,
Romano di Lombardia – VedutaLa Rocca,Romano di Lombardia – VedutaLa Rocca
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Gianfranco Gafforelli (Centrodestra | FdI - LSP - FI - civiche) dal 24-6-2024
Territorio,Territorio
Coordinate,45°31′N 9°45′E
Altitudine,120 m s.l.m.
Superficie,"19,38[1] km²"
Abitanti,21 029[2] (30-11-2025)
Densità,"1 085,09 ab./km²"
Comuni confinanti,"Bariano, Cortenuova, Covo, Fara Olivana con Sola, Martinengo, Morengo, Fornovo San Giovanni"
Altre informazioni,Altre informazioni
Cod. postale,24058
Prefisso,0363
Fuso orario,UTC+1
Codice ISTAT,016183
Cod. catastale,H509
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 251 GG[4]"
Nome abitanti,romanesi
Patrono,san Defendente
Giorno festivo,14 settembre
Soprannome,Romà
Cartografia,Cartografia
Romano di Lombardia,Romano di Lombardia
Romano di Lombardia – MappaPosizione del comune di Romano di Lombardia nella provincia di Bergamo,Romano di Lombardia – MappaPosizione del comune di Romano di Lombardia nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
