Zanica comune,Zanica comune.1
,
Zanica – VedutaVilla del Municipio,Zanica – VedutaVilla del Municipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Luigi Alberto Locatelli (lista civica Zanica futuro comune) dal 27-5-2019
Territorio,Territorio
Coordinate,45°38′22″N 9°41′03″E
Altitudine,210 m s.l.m.
Superficie,"14,66 km²"
Abitanti,8 816[1] (30-11-2025)
Densità,"601,36 ab./km²"
Frazioni,"Capannelle, Padergnone[2]"
Comuni confinanti,"Azzano San Paolo, Cavernago, Comun Nuovo, Grassobbio, Orio al Serio, Stezzano, Urgnano"
Altre informazioni,Altre informazioni
Cod. postale,24050
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016245
Cod. catastale,M147
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 475 GG[4]"
Nome abitanti,zanichesi
Patrono,san Nicola di Bari
Giorno festivo,6 dicembre
Cartografia,Cartografia
Zanica,Zanica
Zanica – MappaPosizione del comune di Zanica nella provincia di Bergamo,Zanica – MappaPosizione del comune di Zanica nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
