Gazzaniga comune,Gazzaniga comune.1
,
Gazzaniga – VedutaPanorama,Gazzaniga – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Mattia Merelli (Lega Nord - Forza Italia) dal 1-6-2015
Territorio,Territorio
Coordinate,45°48′N 9°50′E
Altitudine,386 m s.l.m.
Superficie,"14,41 km²"
Abitanti,4 982[1] (30-11-2025)
Densità,"345,73 ab./km²"
Frazioni,Orezzo[2]
Comuni confinanti,"Albino, Aviatico, Cene, Cornalba, Costa Serina, Fiorano al Serio, Vertova"
Altre informazioni,Altre informazioni
Cod. postale,24025
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016111
Cod. catastale,D952
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 618 GG[4]"
Nome abitanti,gazzanighesi
Patrono,"sant'Ippolito, martire romano"
Giorno festivo,13 agosto
Cartografia,Cartografia
Gazzaniga,Gazzaniga
Gazzaniga – MappaPosizione del comune di Gazzaniga nella provincia di Bergamo,Gazzaniga – MappaPosizione del comune di Gazzaniga nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
