Azzano San Paolo comune,Azzano San Paolo comune.1
,
Azzano San Paolo – VedutaVeduta,Azzano San Paolo – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Lucio de Luca (Lega) dal 26-5-2019
Territorio,Territorio
Coordinate,45°39′38″N 9°40′32″E
Altitudine,230 m s.l.m.
Superficie,"4,29[1] km²"
Abitanti,7 729[2] (30-11-2025)
Densità,"1 801,63 ab./km²"
Frazioni,nessuna[3]
Comuni confinanti,"Bergamo, Orio al Serio, Stezzano, Zanica"
Altre informazioni,Altre informazioni
Cod. postale,24052
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016016
Cod. catastale,A528
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[4]
Cl. climatica,"zona E, 2 506 GG[5]"
Nome abitanti,azzanesi
Patrono,san Paolo Apostolo
Giorno festivo,25 gennaio
Cartografia,Cartografia
Azzano San Paolo,Azzano San Paolo
Azzano San Paolo – MappaPosizione del comune di Azzano San Paolo nella provincia di Bergamo,Azzano San Paolo – MappaPosizione del comune di Azzano San Paolo nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
