Cenate Sotto comune,Cenate Sotto comune.1
,
Cenate Sotto – VedutaPanorama,Cenate Sotto – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Thomas Algeri (lista civica Uniamo Cenate) dal 27-5-2019
Territorio,Territorio
Coordinate,45°42′N 9°49′E
Altitudine,267 m s.l.m.
Superficie,"4,62 km²"
Abitanti,3 994[1] (30-11-2025)
Densità,"864,5 ab./km²"
Frazioni,San Rocco[2]
Comuni confinanti,"Cenate Sopra, San Paolo d'Argon, Scanzorosciate, Torre de' Roveri, Trescore Balneario"
Altre informazioni,Altre informazioni
Cod. postale,24069
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016069
Cod. catastale,C457
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 559 GG[4]"
Nome abitanti,cenatesi
Patrono,san Martino di Tours
Giorno festivo,11 novembre
Cartografia,Cartografia
Cenate Sotto,Cenate Sotto
Cenate Sotto – MappaPosizione del comune di Cenate Sotto nella provincia di Bergamo,Cenate Sotto – MappaPosizione del comune di Cenate Sotto nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
