Ranica comune,Ranica comune.1
,
Ranica – VedutaPanorama,Ranica – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Sergio Parma (lista civica Proposta per Ranica) dal 10-6-2024
Territorio,Territorio
Coordinate,45°44′N 9°43′E
Altitudine,293 m s.l.m.
Superficie,"4,06 km²"
Abitanti,5 855[1] (30-11-2025)
Densità,"1 442,12 ab./km²"
Frazioni,nessuna[2]
Comuni confinanti,"Alzano Lombardo, Gorle, Ponteranica, Scanzorosciate, Torre Boldone, Villa di Serio"
Altre informazioni,Altre informazioni
Cod. postale,24020
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016178
Cod. catastale,H176
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 486 GG[4]"
Nome abitanti,ranichesi
Patrono,santi Sette Fratelli
Giorno festivo,10 luglio
Cartografia,Cartografia
Ranica,Ranica
Ranica – MappaPosizione del comune di Ranica nella provincia di Bergamo,Ranica – MappaPosizione del comune di Ranica nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
