Isso comune,Isso comune.1
(dettagli),(dettagli)
Isso – VedutaVeduta del centro,Isso – VedutaVeduta del centro
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Donati Giuseppe (Lista civica ViviAmoisso) dal 09-06-2024
Territorio,Territorio
Coordinate,45°28′36″N 9°45′34″E
Altitudine,104 m s.l.m.
Superficie,"5,06 km²"
Abitanti,637[1] (30-11-2025)
Densità,"125,89 ab./km²"
Frazioni,nessuna[2]
Comuni confinanti,"Barbata, Camisano (CR), Castel Gabbiano (CR), Covo, Fara Olivana con Sola"
Altre informazioni,Altre informazioni
Cod. postale,24040
Prefisso,0363
Fuso orario,UTC+1
Codice ISTAT,016122
Cod. catastale,E370
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 189 GG[4]"
Nome abitanti,issesi
Patrono,sant'Andrea
Giorno festivo,30 novembre
Cartografia,Cartografia
Isso,Isso
Isso – MappaPosizione del comune di Isso nella provincia di Bergamo,Isso – MappaPosizione del comune di Isso nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
