Cortenuova comune,Cortenuova comune.1
,
Cortenuova – VedutaLa parrocchiale di Sant’Alessandro,Cortenuova – VedutaLa parrocchiale di Sant’Alessandro
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Ambrogio Falchetti (lista civica Obiettivo Comune Cortenuova) dal 10-07-2024
Territorio,Territorio
Coordinate,45°32′20.33″N 9°47′16.3″E
Altitudine,133 m s.l.m.
Superficie,"7,35 km²"
Abitanti,1 984[1] (30-11-2025)
Densità,"269,93 ab./km²"
Frazioni,"Galeazze, Santa Maria del Sasso[2]"
Comuni confinanti,"Calcio, Cividate al Piano, Covo, Martinengo, Romano di Lombardia"
Altre informazioni,Altre informazioni
Cod. postale,24050
Prefisso,0363
Fuso orario,UTC+1
Codice ISTAT,016083
Cod. catastale,D066
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 383 GG[4]"
Nome abitanti,cortenuovesi
Patrono,"sant'Alessandro martire, compatrona santa Fausta"
Giorno festivo,26 agosto; 4ª domenica di settembre
Cartografia,Cartografia
Cortenuova,Cortenuova
Cortenuova – MappaPosizione del comune di Cortenuova nella provincia di Bergamo,Cortenuova – MappaPosizione del comune di Cortenuova nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
