Grone comune,Grone comune.1
,
Grone – VedutaPanorama,Grone – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Enrico Rodolfo Agazzi (lista civica Forza Grone) dal 27-5-2019
Territorio,Territorio
Coordinate,45°44′N 9°55′E
Altitudine,388 m s.l.m.
Superficie,"7,78 km²"
Abitanti,938[1] (30-11-2025)
Densità,"120,57 ab./km²"
Frazioni,"San Antonio, San Fermo[2]"
Comuni confinanti,"Adrara San Martino, Berzo San Fermo, Casazza, Monasterolo del Castello, Vigano San Martino"
Altre informazioni,Altre informazioni
Cod. postale,24060
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016119
Cod. catastale,E192
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 621 GG[4]"
Nome abitanti,gronesi
Patrono,santa Maria
Giorno festivo,8 settembre
Cartografia,Cartografia
Grone,Grone
Grone – MappaPosizione del comune di Grone nella provincia di Bergamo,Grone – MappaPosizione del comune di Grone nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
