Premolo comune,Premolo comune.1
,
Premolo – VedutaPanorama,Premolo – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Omar Seghezzi (lista civica Progetto Premolo) dal 26-5-2014
Territorio,Territorio
Coordinate,45°53′49.2″N 9°51′00.21″E
Altitudine,625 m s.l.m.
Superficie,"17,63 km²"
Abitanti,1 067[1] (30-11-2025)
Densità,"60,52 ab./km²"
Frazioni,nessuna[2]
Comuni confinanti,"Ardesio, Gorno, Oltre il Colle, Oneta, Parre, Ponte Nossa"
Altre informazioni,Altre informazioni
Cod. postale,24020
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016175
Cod. catastale,H036
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 967 GG[4]"
Nome abitanti,premolesi
Patrono,sant'Andrea Apostolo
Giorno festivo,30 novembre
Cartografia,Cartografia
Premolo,Premolo
Premolo – MappaPosizione del comune di Premolo nella provincia di Bergamo,Premolo – MappaPosizione del comune di Premolo nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
