Arcene comune,Arcene comune.1
,
Arcene – VedutaLa parrocchiale di San Michele,Arcene – VedutaLa parrocchiale di San Michele
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Roberto Ravanelli (lista civica dal 2019 Insieme per Arcene; dal 2024 Cambiamo Arcene) dal 27-5-2019
Territorio,Territorio
Coordinate,45°34′34″N 9°36′51″E
Altitudine,152 m s.l.m.
Superficie,"4,35 km²"
Abitanti,5 109[1] (30-11-2025)
Densità,"1 174,48 ab./km²"
Frazioni,nessuna[2]
Comuni confinanti,"Castel Rozzone, Ciserano, Lurano, Pognano, Pontirolo Nuovo, Treviglio, Verdello"
Altre informazioni,Altre informazioni
Cod. postale,24040
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016011
Cod. catastale,A365
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 516 GG[4]"
Nome abitanti,arcenesi
Patrono,san Michele Arcangelo
Giorno festivo,5 aprile - festa della Madonna delle Lacrime
Cartografia,Cartografia
Arcene,Arcene
Arcene – MappaPosizione del comune di Arcene nella provincia di Bergamo,Arcene – MappaPosizione del comune di Arcene nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
