Castro comune,Castro comune.1
,
Castro – VedutaPanorama dal lago,Castro – VedutaPanorama dal lago
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Patrizia Carizzoni (lista civica InCastro) dal 10-6-2024
Territorio,Territorio
Coordinate,45°48′10.76″N 10°04′01.42″E
Altitudine,200 m s.l.m.
Superficie,"2,59 km²"
Abitanti,1 199[1] (30-11-2025)
Densità,"462,93 ab./km²"
Comuni confinanti,"Lovere, Pianico, Solto Collina"
Altre informazioni,Altre informazioni
Cod. postale,24063
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016065
Cod. catastale,C337
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 354 GG[3]"
Nome abitanti,castrensi
Patrono,san Giacomo e san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Castro,Castro
Castro – MappaPosizione del comune di Castro nella provincia di Bergamo,Castro – MappaPosizione del comune di Castro nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
