Onore comune,Onore comune.1
,
Onore – VedutaOnore - Panorama Dall'Alto,Onore – VedutaOnore - Panorama Dall'Alto
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Ettore Schiavi (lista civica Innanzitutto Onore) dal 15-5-2023
Territorio,Territorio
Coordinate,45°53′N 10°01′E
Altitudine,700 m s.l.m.
Superficie,"11,78 km²"
Abitanti,977[1] (30-11-2025)
Densità,"82,94 ab./km²"
Frazioni,"Brugai, Ombregno, Poerza[2]"
Comuni confinanti,"Castione della Presolana, Fino del Monte, Songavazzo"
Altre informazioni,Altre informazioni
Cod. postale,24020
Prefisso,0346
Fuso orario,UTC+1
Codice ISTAT,016149
Cod. catastale,G075
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona F, 3 074 GG[4]"
Nome abitanti,onoresi
Patrono,santa Maria Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Onore,Onore
Onore – MappaPosizione del comune di Onore nella provincia di Bergamo,Onore – MappaPosizione del comune di Onore nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
