Ponte Nossa comune,Ponte Nossa comune.1
(IT) Ponte Nossa,(IT) Ponte Nossa
,
Ponte Nossa – VedutaPanorama,Ponte Nossa – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Stefano Mazzoleni (lista civica Ponte Nossa in comune) dal 26-5-2014 (2º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,45°52′N 9°53′E
Altitudine,465 m s.l.m.
Superficie,"5,59 km²"
Abitanti,1 800[1] (30-11-2025)
Densità,322 ab./km²
Frazioni,nessuna[2]; vedi elenco contrade
Comuni confinanti,"Casnigo, Clusone, Gandino, Gorno, Parre, Premolo"
Altre informazioni,Altre informazioni
Cod. postale,24028
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016168
Cod. catastale,F941
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 730 GG[4]"
Nome abitanti,nossesi
Patrono,"Santa Maria Annunciata, Madonna delle lacrime incoronata; San Bernardino da Siena"
Giorno festivo,20 maggio (San Bernardino) 2 giugno (Lacrimazione della Madonna)
Cartografia,Cartografia
Ponte Nossa,Ponte Nossa
Ponte Nossa – MappaPosizione del comune di Ponte Nossa nella provincia di Bergamo,Ponte Nossa – MappaPosizione del comune di Ponte Nossa nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
