Ornìca comune,Ornìca comune.1
,
Ornìca – VedutaPanorama,Ornìca – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Ambrogio Quarteroni (lista civica Vivere a Ornica) dal 10-6-24
Territorio,Territorio
Coordinate,45°59′18″N 9°34′45″E
Altitudine,922 m s.l.m.
Superficie,"15,1 km²"
Abitanti,126[1] (30-11-2025)
Densità,"8,34 ab./km²"
Frazioni,nessuna[2]; vedi elenco contrade
Comuni confinanti,"Cassiglio, Cusio, Gerola Alta (SO), Valtorta"
Altre informazioni,Altre informazioni
Cod. postale,24010
Prefisso,0345
Fuso orario,UTC+1
Codice ISTAT,016151
Cod. catastale,G118
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona F, 3 379 GG[4]"
Nome abitanti,ornichesi
Patrono,sant'Ambrogio
Giorno festivo,7 dicembre
Cartografia,Cartografia
Ornìca,Ornìca
Ornìca – MappaPosizione del comune di Ornica nella provincia di Bergamo,Ornìca – MappaPosizione del comune di Ornica nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
