Fonteno comune,Fonteno comune.1
,
Fonteno – VedutaPanorama,Fonteno – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Fabio Donda (lista civica Il Basol) dal 26-5-2014
Territorio,Territorio
Coordinate,45°45′08.46″N 10°00′00.09″E
Altitudine,606 m s.l.m.
Superficie,"10,93 km²"
Abitanti,550[1] (30-11-2025)
Densità,"50,32 ab./km²"
Frazioni,Xino[2]
Comuni confinanti,"Adrara San Rocco, Endine Gaiano, Monasterolo del Castello, Parzanica, Riva di Solto, Solto Collina, Vigolo"
Altre informazioni,Altre informazioni
Cod. postale,24060
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016102
Cod. catastale,D684
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 930 GG[4]"
Nome abitanti,fontenesi
Patrono,santi Faustino e Giovita
Giorno festivo,15 febbraio
Cartografia,Cartografia
Fonteno,Fonteno
Fonteno – MappaPosizione del comune di Fonteno nella provincia di Bergamo,Fonteno – MappaPosizione del comune di Fonteno nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
