Zogno comune,Zogno comune.1
,
Zogno – VedutaPanorama,Zogno – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Giuliano Ghisalberti (Lega) dal 10-06-2024
Territorio,Territorio
Coordinate,45°47′38″N 9°39′56″E
Altitudine,334 m s.l.m.
Superficie,"35,21 km²"
Abitanti,8 585[1] (30-11-2025)
Densità,"243,82 ab./km²"
Frazioni,"Endenna, Grumello de' Zanchi, Miragolo San Marco, Miragolo San Salvatore, Poscante, Somendenna, Ambria, Spino al Brembo, Stabello [2]"
Comuni confinanti,"Alzano Lombardo, Bracca, Costa Serina, Algua, Nembro, Ponteranica, San Pellegrino Terme, Sedrina, Sorisole, Val Brembilla"
Altre informazioni,Altre informazioni
Cod. postale,24019
Prefisso,0345
Fuso orario,UTC+1
Codice ISTAT,016246
Cod. catastale,M184
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 544 GG[4]"
Nome abitanti,zognesi
Patrono,san Lorenzo
Giorno festivo,10 agosto
PIL,(nominale) 57.739.369€
PIL procapite,(nominale) 48.900€
Cartografia,Cartografia
Zogno,Zogno
Zogno – MappaPosizione del comune di Zogno nella provincia di Bergamo,Zogno – MappaPosizione del comune di Zogno nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
