Trescore Balneario comune,Trescore Balneario comune.1
,
Trescore Balneario – VedutaTorre Suardi,Trescore Balneario – VedutaTorre Suardi
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Danny Benedetti (Viviamo Trescore - Lega) dal 27-5-2019
Territorio,Territorio
Coordinate,45°42′N 9°51′E
Altitudine,271 m s.l.m.
Superficie,"13,51[1] km²"
Abitanti,9 891[2] (30-11-2025)
Densità,"732,12 ab./km²"
Frazioni,Redona
Comuni confinanti,"Albino, Carobbio degli Angeli, Cenate Sopra, Cenate Sotto, Credaro, Entratico, Gandosso, Gorlago, Luzzana, San Paolo d'Argon, Zandobbio"
Altre informazioni,Altre informazioni
Cod. postale,24069
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016218
Cod. catastale,L388
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 454 GG[4]"
Nome abitanti,trescorensi
Patrono,san Pietro e san Paolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Trescore Balneario,Trescore Balneario
Trescore Balneario – MappaPosizione del comune di Trescore Balneario nella provincia di Bergamo,Trescore Balneario – MappaPosizione del comune di Trescore Balneario nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
