Carobbio degli Angeli comune,Carobbio degli Angeli comune.1
,
Carobbio degli Angeli – VedutaVeduta con la Chiesa di Santo Stefano nella frazione omonima,Carobbio degli Angeli – VedutaVeduta con la Chiesa di Santo Stefano nella frazione omonima
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Giuseppe Ondei (lista civica Insieme per la comunità) dal 5-6-2016
Territorio,Territorio
Coordinate,45°40′N 9°50′E
Altitudine,232 m s.l.m.
Superficie,"6,82 km²"
Abitanti,4 922[1] (30-11-2025)
Densità,"721,7 ab./km²"
Frazioni,"Carobbio (sede comunale), Cicola, Santo Stefano degli Angeli[2]"
Comuni confinanti,"Bolgare, Chiuduno, Gandosso, Gorlago, Grumello del Monte, Trescore Balneario"
Altre informazioni,Altre informazioni
Cod. postale,24060
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016055
Cod. catastale,B801
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 399 GG[4]"
Nome abitanti,carobbiesi
Patrono,san Pancrazio
Giorno festivo,12 maggio
Cartografia,Cartografia
Carobbio degli Angeli,Carobbio degli Angeli
Carobbio degli Angeli – MappaPosizione del comune di Carobbio degli Angeli nella provincia di Bergamo,Carobbio degli Angeli – MappaPosizione del comune di Carobbio degli Angeli nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
