Stezzano comune,Stezzano comune.1
,
Stezzano – VedutaSantuario della Madonna dei Campi,Stezzano – VedutaSantuario della Madonna dei Campi
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Simone Tangorra (centro-sinistra) dal 26-5-2019
Territorio,Territorio
Coordinate,45°39′03″N 9°39′10″E
Altitudine,211 m s.l.m.
Superficie,"9,37[1] km²"
Abitanti,13 885[2] (30-11-2025)
Densità,"1 481,86 ab./km²"
Frazioni,località Madonna dei Campi
Comuni confinanti,"Azzano San Paolo, Bergamo, Comun Nuovo, Dalmine, Lallio, Levate, Zanica"
Altre informazioni,Altre informazioni
Cod. postale,24040
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016207
Cod. catastale,I951
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 479 GG[4]"
Nome abitanti,Stezzanesi
Patrono,san Giovanni Battista Madonna dei Campi di Stezzano
Giorno festivo,24 giugno (Patrono) 12 luglio (anniversario apparizione Madonna dei Campi)
Cartografia,Cartografia
Stezzano,Stezzano
Stezzano – MappaPosizione del comune di Stezzano nella provincia di Bergamo,Stezzano – MappaPosizione del comune di Stezzano nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
