Ubiale Clanezzo comune,Ubiale Clanezzo comune.1
,
Ubiale Clanezzo – VedutaVeduta di Ubiale,Ubiale Clanezzo – VedutaVeduta di Ubiale
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Capoluogo,Ubiale
Sindaco,Ersilio Gotti (lista civica di centro-sinistra Nuovi orizzonti) dall'8-6-2009
Territorio,Territorio
Coordinate del capoluogo,45°47′N 9°37′E
Altitudine,336 m s.l.m.
Superficie,"7,35 km²"
Abitanti,1 314[1] (30-11-2025)
Densità,"178,78 ab./km²"
Frazioni,"Ubiale (sede comunale), Clanezzo[2]"
Comuni confinanti,"Almenno San Salvatore, Capizzone, Sedrina, Strozza, Val Brembilla, Villa d'Almè"
Altre informazioni,Altre informazioni
Cod. postale,24010
Prefisso,0345
Fuso orario,UTC+1
Codice ISTAT,016221
Cod. catastale,C789
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 547 GG[4]"
Nome abitanti,ubialesi
Patrono,Madonna del Rosario (Ubiale) e san Gottardo (Clanezzo)
Giorno festivo,seconda domenica di ottobre e 4 maggio
Cartografia,Cartografia
Ubiale,Ubiale
Ubiale Clanezzo – MappaPosizione del comune di Ubiale Clanezzo nella provincia di Bergamo,Ubiale Clanezzo – MappaPosizione del comune di Ubiale Clanezzo nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
