Gorle comune,Gorle comune.1
,
Gorle – VedutaIl Ponte Marzio sul Serio,Gorle – VedutaIl Ponte Marzio sul Serio
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Giovanni Testa (lista civica Uniti per Gorle) dal 26-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°42′14″N 9°43′09″E
Altitudine,268 m s.l.m.
Superficie,"2,52[1] km²"
Abitanti,6 577[2] (30-11-2025)
Densità,"2 609,92 ab./km²"
Frazioni,nessuna[3]
Comuni confinanti,"Bergamo, Pedrengo, Ranica, Scanzorosciate, Seriate, Torre Boldone"
Altre informazioni,Altre informazioni
Cod. postale,24020
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016115
Cod. catastale,E103
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[4]
Cl. climatica,"zona E, 2 560 GG[5]"
Nome abitanti,gorlesi
Patrono,Natività di Maria Vergine
Giorno festivo,8 settembre
Cartografia,Cartografia
Gorle,Gorle
Gorle – MappaPosizione del comune di Gorle nella provincia di Bergamo,Gorle – MappaPosizione del comune di Gorle nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
