Torre Pallavicina comune,Torre Pallavicina comune.1
,
Torre Pallavicina – VedutaCortile interno di Palazzo Barbò,Torre Pallavicina – VedutaCortile interno di Palazzo Barbò
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Capoluogo,Villanuova
Sindaco,Antonio Marchetti (lista civica Obiettivo comune) dal 15-5-2011
Territorio,Territorio
Coordinate del capoluogo,45°27′N 9°52′E
Altitudine,95 m s.l.m.
Superficie,"10,62 km²"
Abitanti,1 157[1] (30-11-2025)
Densità,"108,95 ab./km²"
Frazioni,"Villanuova (sede comunale), Torre, Santa Maria e Portici[2]"
Comuni confinanti,"Fontanella, Orzinuovi (BS), Pumenengo, Roccafranca (BS), Soncino (CR)"
Altre informazioni,Altre informazioni
Cod. postale,24050
Prefisso,0363
Fuso orario,UTC+1
Codice ISTAT,016217
Cod. catastale,L276
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 251 GG[4]"
Nome abitanti,torrepallavicinesi
Patrono,santi Nazario e Celso
Giorno festivo,ultima domenica di luglio[5]
Cartografia,Cartografia
Villanuova,Villanuova
Torre Pallavicina – MappaPosizione del comune di Torre Pallavicina nella provincia di Bergamo,Torre Pallavicina – MappaPosizione del comune di Torre Pallavicina nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
