Carona comune,Carona comune.1
,
Carona – VedutaPanorama,Carona – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Aldo Ruffini (lista civica) dal 13-6-2022
Territorio,Territorio
Coordinate,46°01′20″N 9°47′02″E
Altitudine,1 110 m s.l.m.
Superficie,"44,15 km²"
Abitanti,285[1] (30-11-2025)
Densità,"6,46 ab./km²"
Frazioni,"Carona Bassa, Pagliari[2]"
Comuni confinanti,"Branzi, Caiolo (SO), Foppolo, Gandellino, Piateda (SO), Valbondione, Valgoglio, Valleve"
Altre informazioni,Altre informazioni
Cod. postale,24010
Prefisso,0345
Fuso orario,UTC+1
Codice ISTAT,016056
Cod. catastale,B803
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona F, 3 646 GG[4]"
Nome abitanti,Caronèi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Carona,Carona
Carona – MappaPosizione del comune di Carona nella provincia di Bergamo,Carona – MappaPosizione del comune di Carona nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
