Lovere comune,Lovere comune.1
,
Lovere – VedutaPanorama di Lovere e del lago da Ceratello,Lovere – VedutaPanorama di Lovere e del lago da Ceratello
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Claudia Taccolini (lista civica Lovere Domani) dal 10-6-2024
Territorio,Territorio
Coordinate,45°48′45″N 10°04′12″E
Altitudine,208 m s.l.m.
Superficie,"7,92 km²"
Abitanti,4 960[1] (30-11-2025)
Densità,"626,26 ab./km²"
Frazioni,nessuna[2]
Comuni confinanti,"Castro, Bossico, Costa Volpino, Pianico, Pisogne (BS), Sovere"
Altre informazioni,Altre informazioni
Cod. postale,24065
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016128
Cod. catastale,E704
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 365 GG[4]"
Nome abitanti,loveresi
Patrono,santa Bartolomea Capitanio e santa Vincenza Gerosa
Giorno festivo,18 maggio
Cartografia,Cartografia
Lovere,Lovere
Lovere – MappaPosizione del comune di Lovere nella provincia di Bergamo,Lovere – MappaPosizione del comune di Lovere nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
