Oltre il Colle comune,Oltre il Colle comune.1
,
Oltre il Colle – VedutaPanorama,Oltre il Colle – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Ferruccio Ghilardi (lista civica Impegno comune) dal 16-5-2023
Territorio,Territorio
Coordinate,45°54′43.3″N 9°46′43.77″E
Altitudine,1 030 m s.l.m.
Superficie,"32,89 km²"
Abitanti,917[1] (30-11-2025)
Densità,"27,88 ab./km²"
Frazioni,"Zambla Bassa, Zambla Alta, Zorzone[2]"
Comuni confinanti,"Ardesio, Cornalba, Oneta, Premolo, Roncobello, Serina"
Altre informazioni,Altre informazioni
Cod. postale,24013
Prefisso,0345
Fuso orario,UTC+1
Codice ISTAT,016146
Cod. catastale,G050
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona F, 3 532 GG[4]"
Nome abitanti,"oltrecollesi, zamblesi, zorzonesi"
Patrono,san Bartolomeo
Giorno festivo,24 agosto
Cartografia,Cartografia
Oltre il Colle,Oltre il Colle
Oltre il Colle – MappaPosizione del comune di Oltre il Colle nella provincia di Bergamo,Oltre il Colle – MappaPosizione del comune di Oltre il Colle nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
