Vigano San Martino comune,Vigano San Martino comune.1
,
Vigano San Martino – VedutaPanorama,Vigano San Martino – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Alfredo Nicoli (lista civica Noi per Vigano) dal 27-5-2019
Territorio,Territorio
Coordinate,45°43′35″N 9°53′40″E
Altitudine,363 m s.l.m.
Superficie,"3,76 km²"
Abitanti,1 397[1] (30-11-2025)
Densità,"371,54 ab./km²"
Frazioni,nessuna[2]
Comuni confinanti,"Albino, Berzo San Fermo, Borgo di Terzo, Casazza, Grone"
Altre informazioni,Altre informazioni
Cod. postale,24060
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016236
Cod. catastale,L865
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 585 GG[4]"
Nome abitanti,viganesi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Vigano San Martino,Vigano San Martino
Vigano San Martino – MappaPosizione del comune di Vigano San Martino nella provincia di Bergamo,Vigano San Martino – MappaPosizione del comune di Vigano San Martino nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
