Castelli Calepio comune,Castelli Calepio comune.1
,
Castelli Calepio – VedutaPanorama di Tagliuno,Castelli Calepio – VedutaPanorama di Tagliuno
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Capoluogo,Tagliuno
Sindaco,Adriano Pagani (Nuovi Orizzonti) dal 07-6-2024
Territorio,Territorio
Coordinate del capoluogo,45°38′N 9°54′E
Altitudine,233 m s.l.m.
Superficie,"10,06 km²"
Abitanti,10 466[1] (30-11-2025)
Densità,"1 040,36 ab./km²"
Frazioni,"Tagliuno (sede comunale), Calepio, Cividino, Quintano[2]"
Comuni confinanti,"Capriolo (BS), Credaro, Gandosso, Grumello del Monte, Palazzolo sull'Oglio (BS)"
Altre informazioni,Altre informazioni
Cod. postale,24060
Prefisso,035-030
Fuso orario,UTC+1
Codice ISTAT,016062
Cod. catastale,C079
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 388 GG[4]"
Nome abitanti,"tagliunesi, cividinesi, calepini, quintanesi"
Patrono,vari
Giorno festivo,vari
Cartografia,Cartografia
Tagliuno,Tagliuno
Castelli Calepio – MappaPosizione del comune di Castelli Calepio nella provincia di Bergamo,Castelli Calepio – MappaPosizione del comune di Castelli Calepio nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
