Santa Brigida comune,Santa Brigida comune.1
,
Santa Brigida – VedutaPanorama,Santa Brigida – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Capoluogo,Colla
Sindaco,Manuel Rossi (lista civica I giovani per il futuro) dal 27-5-2019
Territorio,Territorio
Coordinate del capoluogo,45°59′N 9°37′E
Altitudine,805 m s.l.m.
Superficie,"13,8 km²"
Abitanti,517[1] (30-11-2025)
Densità,"37,46 ab./km²"
Frazioni,"Caprile Alto, Caprile Basso, Taleggio, Bindo, Carale, Muggiasca, Colla (sede comunale), Foppa, Piazzo, Gerro, Pozzolo, Cugno[2]"
Comuni confinanti,"Averara, Cassiglio, Cusio, Gerola Alta (SO), Olmo al Brembo"
Altre informazioni,Altre informazioni
Cod. postale,24010
Prefisso,0345
Fuso orario,UTC+1
Codice ISTAT,016191
Cod. catastale,I168
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona F, 3 213 GG[4]"
Nome abitanti,sambrigedesi
Patrono,santa Brigida d'Irlanda
Giorno festivo,1º febbraio
Cartografia,Cartografia
Colla,Colla
Santa Brigida – MappaPosizione del comune di Santa Brigida nella provincia di Bergamo,Santa Brigida – MappaPosizione del comune di Santa Brigida nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
