Almenno San Bartolomeo comune,Almenno San Bartolomeo comune.1
,
Almenno San Bartolomeo – VedutaVeduta della piana di Almenno dominata dal Monte Linzone,Almenno San Bartolomeo – VedutaVeduta della piana di Almenno dominata dal Monte Linzone
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Alessandro Frigeni (lista civica) dal 26-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°44′56″N 9°34′47″E
Altitudine,352 m s.l.m.
Superficie,"10,61 km²"
Abitanti,6 632[1] (30-11-2025)
Densità,"625,07 ab./km²"
Frazioni,"Albenza, Barlino, Campino, Canova, Carobais, Cascine d'Agro, Longa[2]"
Comuni confinanti,"Almè, Almenno San Salvatore, Barzana, Brembate di Sopra, Paladina, Palazzago, Roncola, Strozza, Valbrembo"
Altre informazioni,Altre informazioni
Cod. postale,24030
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016006
Cod. catastale,A216
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 500 GG[4]"
Nome abitanti,almennesi
Patrono,santi Bartolomeo e Timoteo
Giorno festivo,24 agosto
Cartografia,Cartografia
Almenno San Bartolomeo,Almenno San Bartolomeo
Almenno San Bartolomeo – MappaPosizione del comune di Almenno San Bartolomeo nella provincia di Bergamo,Almenno San Bartolomeo – MappaPosizione del comune di Almenno San Bartolomeo nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
