Moio de' Calvi comune,Moio de' Calvi comune.1
,
Moio de' Calvi – VedutaPanorama,Moio de' Calvi – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Alessandro Balestra (lista civica) dal 27-5-2019
Territorio,Territorio
Coordinate,45°57′06″N 9°42′03″E
Altitudine,654 m s.l.m.
Superficie,"6,36 km²"
Abitanti,199[1] (30-11-2025)
Densità,"31,29 ab./km²"
Frazioni,nessuna[2]
Comuni confinanti,"Isola di Fondra, Lenna, Piazzatorre, Piazzolo, Roncobello, Valnegra"
Altre informazioni,Altre informazioni
Cod. postale,24070
Prefisso,0345
Fuso orario,UTC+1
Codice ISTAT,016136
Cod. catastale,F276
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 998 GG[4]"
Nome abitanti,moiesi
Patrono,san Mattia
Giorno festivo,14 maggio
Cartografia,Cartografia
Moio de' Calvi,Moio de' Calvi
Moio de' Calvi – MappaPosizione del comune di Moio de' Calvi nella provincia di Bergamo,Moio de' Calvi – MappaPosizione del comune di Moio de' Calvi nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
