Algua comune,Algua comune.1
,
Algua – VedutaPanorama di Sambusita,Algua – VedutaPanorama di Sambusita
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Luigi Marconi (lista civica Uniti per Algua) dal 9-6-2024
Territorio,Territorio
Coordinate,45°49′32″N 9°43′18″E
Altitudine,432 m s.l.m.
Superficie,"8,32 km²"
Abitanti,697[1] (30-11-2025)
Densità,"83,77 ab./km²"
Frazioni,"Frerola, Pagliaro, Rigosa, Sambusita[2]"
Comuni confinanti,"Aviatico, Bracca, Costa Serina, Nembro, San Pellegrino Terme, Selvino, Serina, Zogno"
Altre informazioni,Altre informazioni
Cod. postale,24010
Prefisso,0345
Fuso orario,UTC+1
Codice ISTAT,016248
Cod. catastale,A193
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 785 GG[4]"
Nome abitanti,alguesi
Patrono,santa Maria del Carmelo
Giorno festivo,"16 luglio, III domenica di luglio (festa esterna)"
Cartografia,Cartografia
Algua,Algua
Algua – MappaPosizione del comune di Algua nella provincia di Bergamo,Algua – MappaPosizione del comune di Algua nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
