Alzano Lombardo comune,Alzano Lombardo comune.1
,
Alzano Lombardo – VedutaPanorama,Alzano Lombardo – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Camillo Bertocchi (Lega Nord) dal 6-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,45°43′54″N 9°43′42″E
Altitudine,304 m s.l.m.
Superficie,"13,68 km²"
Abitanti,13 458[1] (30-11-2025)
Densità,"983,77 ab./km²"
Frazioni,"Alzano Sopra, Burro, Busa, Brumano, Monte di Nese, Nese, Olera[2]"
Comuni confinanti,"Nembro, Ranica, Villa di Serio, Ponteranica, Zogno"
Altre informazioni,Altre informazioni
Cod. postale,24022
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016008
Cod. catastale,A246
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 432 GG[4]"
Nome abitanti,alzanesi
Patrono,san Martino
Giorno festivo,11 novembre
Cartografia,Cartografia
Alzano Lombardo,Alzano Lombardo
Alzano Lombardo – MappaPosizione del comune di Alzano Lombardo nella provincia di Bergamo,Alzano Lombardo – MappaPosizione del comune di Alzano Lombardo nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
