Lenna comune,Lenna comune.1
,
Lenna – VedutaPanorama,Lenna – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Jonathan Lobati (lista civica Impegno e passione per Lenna) dal 26-5-2014 (2º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,45°56′36″N 9°40′39″E
Altitudine,540 m s.l.m.
Superficie,"12,74 km²"
Abitanti,550[1] (30-11-2025)
Densità,"43,17 ab./km²"
Frazioni,"Scalvino Cantone San Francesco, Cantone Santa Maria, Cornamena"
Comuni confinanti,"Camerata Cornello, Dossena, Moio de' Calvi, Piazza Brembana, Roncobello, San Giovanni Bianco, Valnegra"
Altre informazioni,Altre informazioni
Cod. postale,24010
Prefisso,0345
Fuso orario,UTC+1
Codice ISTAT,016125
Cod. catastale,E524
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 754 GG[3]"
Nome abitanti,Lennesi
Patrono,santa Lucia - san Martino
Giorno festivo,13 dicembre - 11 novembre
Cartografia,Cartografia
Lenna,Lenna
Lenna – MappaPosizione del comune di Lenna nella provincia di Bergamo,Lenna – MappaPosizione del comune di Lenna nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
