Cusio comune,Cusio comune.1
,
Cusio – VedutaPanorama,Cusio – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Andrea Paleni (lista civica Tutela e progresso) dal 26-5-2014
Territorio,Territorio
Coordinate,45°59′27″N 9°36′09″E
Altitudine,1 040 m s.l.m.
Superficie,"9,41 km²"
Abitanti,196[1] (30-11-2025)
Densità,"20,83 ab./km²"
Frazioni,nessuna[2]
Comuni confinanti,"Cassiglio, Gerola Alta (SO), Ornica, Santa Brigida"
Altre informazioni,Altre informazioni
Cod. postale,24010
Prefisso,0345
Fuso orario,UTC+1
Codice ISTAT,016090
Cod. catastale,D233
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona F, 3 546 GG[4]"
Nome abitanti,"cusiani o ""Carpegn"" (Carpini)"
Patrono,santa Margherita di Antiochia
Giorno festivo,20 luglio
Cartografia,Cartografia
Cusio,Cusio
Cusio – MappaPosizione del comune di Cusio nella provincia di Bergamo,Cusio – MappaPosizione del comune di Cusio nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
