Ponteranica comune,Ponteranica comune.1
,
Ponteranica – VedutaPanorama,Ponteranica – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Susanna Pini (lista civica Ponteranica in comune) dal 9-6-2024
Territorio,Territorio
Coordinate,45°44′N 9°39′E
Altitudine,381[1] m s.l.m.
Superficie,"8,48[2] km²"
Abitanti,6 739[3] (30-11-2025)
Densità,"794,69 ab./km²"
Frazioni,nessuna[4]
Comuni confinanti,"Alzano Lombardo, Bergamo, Ranica, Sorisole, Torre Boldone, Zogno"
Altre informazioni,Altre informazioni
Cod. postale,24010
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016169
Cod. catastale,G853
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[5]
Cl. climatica,"zona E, 2 496 GG[6]"
Nome abitanti,ponteranichesi
Patrono,"sant'Alessandro di Bergamo, san Pantaleone (Patrono non ufficiale)"
Giorno festivo,"26 Agosto, 27 luglio"
Cartografia,Cartografia
Ponteranica,Ponteranica
Ponteranica – MappaPosizione del comune di Ponteranica nella provincia di Bergamo,Ponteranica – MappaPosizione del comune di Ponteranica nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
