Valbondione comune,Valbondione comune.1
,
Valbondione – VedutaVeduta,Valbondione – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Capoluogo,Bondione
Sindaco,Walter Semperboni (lista civica Valvondione sul Serio) dall'11-06-2024
Data di istituzione,1927
Territorio,Territorio
Coordinate del capoluogo,46°02′16″N 10°00′47″E
Altitudine,900 m s.l.m.
Superficie,"96,89[1] km²"
Abitanti,941[2] (30-11-2025)
Densità,"9,71 ab./km²"
Frazioni,"Bondione (sede comunale), Fiumenero, Lizzola[3]"
Comuni confinanti,"Carona, Gandellino, Gromo, Piateda (SO), Ponte in Valtellina (SO), Teglio (SO), Vilminore di Scalve"
Altre informazioni,Altre informazioni
Cod. postale,24020
Prefisso,0346
Fuso orario,UTC+1
Codice ISTAT,016223
Cod. catastale,L544
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[4]
Cl. climatica,"zona F, 3 348 GG[5]"
Nome abitanti,valbondionesi
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Bondione,Bondione
Valbondione – MappaPosizione del comune di Valbondione nella provincia di Bergamo,Valbondione – MappaPosizione del comune di Valbondione nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
