Osio Sopra comune,Osio Sopra comune.1
,
Osio Sopra – VedutaLa parrocchiale di San Zenone,Osio Sopra – VedutaLa parrocchiale di San Zenone
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Luca Colleoni (lista civica Vivere Osio) dal 9-6-2024
Territorio,Territorio
Coordinate,45°38′N 9°35′E
Altitudine,192 m s.l.m.
Superficie,"5,18 km²"
Abitanti,5 194[1] (30-11-2025)
Densità,"1 002,7 ab./km²"
Frazioni,nessuna[2]
Comuni confinanti,"Dalmine, Filago, Levate, Osio Sotto"
Altre informazioni,Altre informazioni
Cod. postale,24040
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016152
Cod. catastale,G159
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 428 GG[4]"
Nome abitanti,osiensi
Patrono,san Zenone
Giorno festivo,12 aprile
Cartografia,Cartografia
Osio Sopra,Osio Sopra
Osio Sopra – MappaPosizione del comune di Osio Sopra nella provincia di Bergamo,Osio Sopra – MappaPosizione del comune di Osio Sopra nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
