Piazza Brembana comune,Piazza Brembana comune.1
,
Piazza Brembana – VedutaPanorama,Piazza Brembana – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Leone Gervasoni (lista civica Uniti per cambiare) dall'11-6-2024
Territorio,Territorio
Coordinate,45°56′50″N 9°40′30″E
Altitudine,518 m s.l.m.
Superficie,"6,77 km²"
Abitanti,1 195[1] (30-11-2025)
Densità,"176,51 ab./km²"
Comuni confinanti,"Camerata Cornello, Lenna, Olmo al Brembo, Valnegra"
Altre informazioni,Altre informazioni
Cod. postale,24014
Prefisso,0345
Fuso orario,UTC+1
Codice ISTAT,016164
Cod. catastale,G579
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 831 GG[3]"
Nome abitanti,Piazzesi
Patrono,san Martino
Giorno festivo,11 novembre
Cartografia,Cartografia
Piazza Brembana,Piazza Brembana
Piazza Brembana – MappaPosizione del comune di Piazza Brembana nella provincia di Bergamo,Piazza Brembana – MappaPosizione del comune di Piazza Brembana nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
