Peia comune,Peia comune.1
,
Peia – VedutaPanorama dal monte Beio,Peia – VedutaPanorama dal monte Beio
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Christian Bertocchi (Insieme per Peia) dal 10-6-2024
Territorio,Territorio
Coordinate,45°48′N 9°54′E
Altitudine,570 m s.l.m.
Superficie,"4,48 km²"
Abitanti,1 662[1] (30-11-2025)
Densità,"370,98 ab./km²"
Frazioni,nessuna[2]
Comuni confinanti,"Bianzano, Gandino, Leffe, Ranzanico"
Altre informazioni,Altre informazioni
Cod. postale,24020
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016161
Cod. catastale,G418
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 879 GG[4]"
Nome abitanti,peiesi
Patrono,sant'Antonio di Padova
Giorno festivo,13 giugno
Cartografia,Cartografia
Peia,Peia
Peia – MappaPosizione del comune di Peia nella provincia di Bergamo,Peia – MappaPosizione del comune di Peia nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
