Riva di Solto comune,Riva di Solto comune.1
,
Riva di Solto – VedutaVeduta del lungolago,Riva di Solto – VedutaVeduta del lungolago
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Nadia Carrara (lista civica Oltre... il paese) dal 26-5-2014 (2º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,45°46′N 10°02′E
Altitudine,186 m s.l.m.
Superficie,"8,52 km²"
Abitanti,842[1] (30-11-2025)
Densità,"98,83 ab./km²"
Frazioni,"Gargarino, Zorzino[2]"
Comuni confinanti,"Fonteno, Marone (BS), Parzanica, Pisogne (BS), Solto Collina"
Altre informazioni,Altre informazioni
Cod. postale,24060
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016180
Cod. catastale,H331
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 340 GG[4]"
Nome abitanti,rivolesi
Patrono,san Nicola di Bari
Giorno festivo,6 dicembre
Cartografia,Cartografia
Riva di Solto,Riva di Solto
Riva di Solto – MappaPosizione del comune di Riva di Solto nella provincia di Bergamo,Riva di Solto – MappaPosizione del comune di Riva di Solto nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
