Bagnatica comune,Bagnatica comune.1
,
Bagnatica – VedutaPanorama dal monte Tomenone,Bagnatica – VedutaPanorama dal monte Tomenone
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Roberto Scarpellini (lista civica Nuova Bagnatica) dal 26-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°39′43″N 9°46′52″E
Altitudine,220 m s.l.m.
Superficie,"6,55 km²"
Abitanti,4 449[1] (30-11-2025)
Densità,"679,24 ab./km²"
Frazioni,nessuna[2]
Comuni confinanti,"Albano Sant'Alessandro, Bolgare, Brusaporto, Calcinate, Costa di Mezzate, Montello, Seriate"
Altre informazioni,Altre informazioni
Cod. postale,24060
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016018
Cod. catastale,A557
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 492 GG[4]"
Nome abitanti,bagnatichesi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Bagnatica,Bagnatica
Bagnatica – MappaPosizione del comune di Bagnatica nella provincia di Bergamo,Bagnatica – MappaPosizione del comune di Bagnatica nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
